"id","word","meaning","wrong1","wrong2","level","created_at","updated_at","user_id"
"1","dream","夢","眠気","寝坊",\N,"2016-08-15 11:15:04","2016-08-15 11:15:04","1"
"2","hope","希望","絶望","欲望",\N,"2016-08-15 11:16:12","2016-08-15 11:16:12","1"
"3","courage","勇気","愛","信頼",\N,"2016-08-15 11:19:30","2016-08-15 11:19:30","1"
"4","test","試験","趣味","食事",\N,"2016-08-15 13:09:33","2016-08-15 13:09:33","1"
"6","continue","続ける","投げ出す","昼寝する",\N,"2016-08-15 13:15:25","2016-08-15 13:15:25","1"
"8","fight","闘う","逃げる","温泉に入る",\N,"2016-08-15 13:20:24","2016-08-15 13:20:24","1"
"10","language","言語","家","太陽",\N,"2016-08-15 13:34:20","2016-08-15 13:34:20","1"
"11","road","道","山","川",\N,"2016-08-15 15:52:28","2016-08-15 15:52:28","1"
"12","sun","太陽","木星","金星",\N,"2016-08-15 15:53:16","2016-08-15 15:53:16","2"
"13","moon","月","太陽","雲",\N,"2016-08-15 15:55:17","2016-08-15 15:55:17","2"
"14","river","川","海","湖",\N,"2016-08-16 04:53:36","2016-08-16 04:53:36","2"
"15","airplane","飛行機","洗濯機","脱毛機",\N,"2016-08-16 04:57:14","2016-08-16 04:57:14","1"
"16","car","車","ヘリコプター","潜水艦",\N,"2016-08-16 04:58:57","2016-08-16 04:58:57","2"
"17","left","左","右","真ん中",\N,"2016-08-16 05:00:15","2016-08-16 05:00:15","2"
"18","right","右","左","真ん中",\N,"2016-08-16 05:00:49","2016-08-16 05:00:49","2"
"19","journey","旅","盟友","追憶",\N,"2016-08-16 08:19:31","2016-08-16 08:19:31","1"
"20","easy","簡単","難しい","普通",\N,"2016-08-16 13:32:26","2016-08-16 13:32:26","2"
"21","difficult","難しい","簡単","普通",\N,"2016-08-16 13:33:59","2016-08-16 13:33:59","2"
"22","power","力","妄想","勘違い",\N,"2016-08-16 13:50:20","2016-08-16 13:50:20","1"
"23","blue","青","赤","黄",\N,"2016-08-16 14:03:29","2016-08-16 14:03:29","2"
"24","water","水","炎","雷",\N,"2016-08-17 07:11:06","2016-08-17 07:11:06","2"
"25","sand","砂","岩","石",\N,"2016-08-17 07:21:39","2016-08-17 07:21:39","1"
"26","treasure","宝","屑","埃",\N,"2016-08-17 07:22:38","2016-08-18 02:11:07","1"
"30","bridge","橋","箸","端",\N,"2016-08-18 01:18:18","2016-08-18 01:18:18","1"
"31","make","作る","壊す","放置する",\N,"2016-08-18 01:21:16","2016-08-18 02:13:08","1"
"34","winter","冬","春","夏",\N,"2016-08-18 02:32:47","2016-08-18 02:32:47","2"
"35","tea","茶","水","酒",\N,"2016-08-19 03:25:18","2016-08-19 03:25:18","1"
